datetime,price
2021-03-15 13:55:00,128.0
2021-03-15 14:00:00,128.04
2021-03-15 14:05:00,128.07
2021-03-15 14:10:00,128.14
2021-03-15 14:15:00,128.22
2021-03-15 14:20:00,128.275
2021-03-15 14:25:00,128.37
2021-03-15 14:30:00,128.36
2021-03-15 14:35:00,128.35
2021-03-15 14:40:00,128.29
2021-03-15 14:45:00,128.27
2021-03-15 14:50:00,128.18
2021-03-15 14:55:00,128.185
2021-03-15 15:00:00,128.205
2021-03-15 15:05:00,128.14
2021-03-15 15:10:00,128.16
2021-03-15 15:15:00,128.045
2021-03-15 15:20:00,128.12
2021-03-15 15:25:00,128.18
2021-03-15 15:30:00,128.12
2021-03-15 15:35:00,128.03
2021-03-15 15:40:00,127.965
2021-03-15 15:45:00,128.085
2021-03-15 15:50:00,128.2547
2021-03-15 15:55:00,128.39
2021-03-15 16:00:00,128.58
2021-03-15 16:05:00,128.58
2021-03-15 16:10:00,128.58
2021-03-15 16:15:00,128.58
2021-03-15 16:25:00,128.6
2021-03-15 17:10:00,128.84
2021-03-15 17:15:00,128.59
2021-03-15 18:05:00,128.6
2021-03-15 18:40:00,128.58
2021-03-16 06:20:00,128.58
2021-03-16 07:20:00,128.57
2021-03-16 07:25:00,128.58
2021-03-16 08:10:00,128.74
2021-03-16 08:35:00,128.65
2021-03-16 08:45:00,128.58
2021-03-16 09:25:00,128.28
2021-03-16 09:35:00,127.735
2021-03-16 09:40:00,127.731
2021-03-16 09:45:00,127.52
2021-03-16 09:50:00,127.68
2021-03-16 09:55:00,128.015
2021-03-16 10:00:00,127.93
2021-03-16 10:05:00,127.645
2021-03-16 10:10:00,127.5967
2021-03-16 10:15:00,127.77
2021-03-16 10:20:00,127.9
2021-03-16 10:25:00,127.56
2021-03-16 10:30:00,127.4642
2021-03-16 10:35:00,127.52
2021-03-16 10:40:00,127.7475
2021-03-16 10:45:00,127.57
2021-03-16 10:50:00,127.67
2021-03-16 10:55:00,127.6501
2021-03-16 11:00:00,127.746
2021-03-16 11:05:00,127.7858
2021-03-16 11:10:00,127.8124
2021-03-16 11:15:00,127.9456
2021-03-16 11:20:00,128.195
2021-03-16 11:25:00,128.04
2021-03-16 11:30:00,128.08
2021-03-16 11:35:00,127.96
2021-03-16 11:40:00,128.08
2021-03-16 11:45:00,127.87
2021-03-16 11:50:00,127.79
2021-03-16 11:55:00,127.77
2021-03-16 12:00:00,127.8208
2021-03-16 12:05:00,127.795
2021-03-16 12:10:00,128.07
2021-03-16 12:15:00,128.035
2021-03-16 12:20:00,127.92
2021-03-16 12:25:00,127.9
2021-03-16 12:30:00,128.0
2021-03-16 12:35:00,127.96
2021-03-16 12:40:00,128.03
2021-03-16 12:45:00,128.11
2021-03-16 12:50:00,128.15
2021-03-16 12:55:00,128.23
2021-03-16 13:00:00,128.27
2021-03-16 13:05:00,128.32
2021-03-16 13:10:00,128.28
2021-03-16 13:15:00,128.24
2021-03-16 13:20:00,128.26
2021-03-16 13:25:00,128.18
2021-03-16 13:30:00,128.1257
2021-03-16 13:35:00,128.11
2021-03-16 13:40:00,127.91
2021-03-16 13:45:00,127.86
2021-03-16 13:50:00,127.93
2021-03-16 13:55:00,127.995
2021-03-16 14:00:00,127.99
2021-03-16 14:05:00,128.05
2021-03-16 14:10:00,128.05
2021-03-16 14:15:00,127.935
2021-03-16 14:20:00,128.08
2021-03-16 14:25:00,127.945
2021-03-16 14:30:00,127.92
2021-03-16 14:35:00,128.0938
2021-03-16 14:40:00,128.035
2021-03-16 14:45:00,128.01
2021-03-16 14:50:00,128.08
2021-03-16 14:55:00,128.12
2021-03-16 15:00:00,128.27
2021-03-16 15:05:00,128.35
2021-03-16 15:10:00,128.37
2021-03-16 15:15:00,128.265
2021-03-16 15:20:00,128.275
2021-03-16 15:25:00,128.34
2021-03-16 15:30:00,128.24
2021-03-16 15:35:00,128.36
2021-03-16 15:40:00,128.42
2021-03-16 15:45:00,128.28
2021-03-16 15:50:00,128.29
2021-03-16 15:55:00,128.38
2021-03-16 16:00:00,128.27
2021-03-16 16:05:00,128.36
2021-03-16 16:10:00,128.24
2021-03-16 16:15:00,128.24
2021-03-16 16:35:00,128.0
2021-03-16 16:50:00,128.0
2021-03-16 17:15:00,128.4
2021-03-16 17:25:00,128.2
2021-03-16 17:40:00,128.44
2021-03-16 18:00:00,128.24
